,DATE,US_GDP,US_UNRATE,US_HousingPriceIndex,US_CPI,US_INDPRO,Price,Open,High,Low,Volume,Change %,Change,USREC,Target
130,2010-11-01,15309.474,9.8,142.167,0.042064642,92.6686,4584.4,4665.7,4815.0,4551.2,22130000000.0,-1.66%,-0.0166,0.0,0
131,2010-12-01,15309.474,9.3,142.054,0.171844079,93.5916,4745.2,4581.4,4811.9,4557.0,16829999999.999998,3.51%,0.0351,0.0,1
132,2011-01-01,15351.448,9.1,141.516,0.476323005,93.3889,4753.9,4758.3,4839.2,4686.5,15810000000.0,0.18%,0.0018,0.0,1
133,2011-02-01,15351.448,9.0,140.343,0.493136503,93.0045,4831.7,4759.1,4944.4,4751.8,17750000000.0,1.64%,0.016399999999999998,0.0,1
134,2011-03-01,15351.448,9.0,139.975,0.975107203,93.9684,4837.9,4839.7,4864.3,4477.4,26030000000.0,0.13%,0.0013,0.0,1
135,2011-04-01,15557.539,9.1,140.007,0.643942954,93.6571,4823.2,4836.1,4976.4,4788.6,16500000000.0,-0.30%,-0.003,0.0,0
136,2011-05-01,15557.539,9.0,139.903,0.470418753,93.7723,4708.3,4826.3,4835.5,4582.7,20940000000.0,-2.38%,-0.023799999999999998,0.0,0
137,2011-06-01,15557.539,9.1,139.86,-0.107096706,94.0493,4608.0,4711.3,4724.8,4451.7,20350000000.0,-2.13%,-0.0213,0.0,0
138,2011-07-01,15647.68,9.0,139.72799999999998,0.088604567,94.4958,4424.6,4612.2,4657.4,4421.1,18560000000.0,-3.98%,-0.0398,0.0,0
139,2011-08-01,15647.68,9.0,139.308,0.27575889,95.0974,4296.5,4440.9,4517.4,3765.9,26630000000.0,-2.90%,-0.028999999999999998,0.0,0
140,2011-09-01,15647.68,9.0,138.667,0.151846212,95.0244,4008.6,4297.9,4354.6,3862.4,24250000000.0,-6.70%,-0.067,0.0,0
141,2011-10-01,15842.259,8.8,137.951,-0.206268263,95.6891,4298.1,3990.6,4417.6,3840.2,17740000000.0,7.22%,0.0722,0.0,1
142,2011-11-01,15842.259,8.6,137.15,-0.084356133,95.6778,4119.8,4278.1,4365.0,3973.8,17160000000.0,-4.15%,-0.0415,0.0,0
143,2011-12-01,15842.259,8.5,136.672,-0.246651638,96.1809,4056.6,4157.5,4335.2,4038.1,14340000000.0,-1.53%,-0.015300000000000001,0.0,0
144,2012-01-01,16068.805,8.3,136.606,0.440019143,96.7595,4262.7,4069.9,4315.6,4069.1,12730000000.0,5.08%,0.0508,0.0,1
145,2012-02-01,16068.805,8.3,136.531,0.440297355,97.0662,4298.5,4258.9,4318.8,4170.2,18150000000.0,0.84%,0.0084,0.0,1
146,2012-03-01,16068.805,8.2,137.90200000000002,0.759455862,96.5609,4335.2,4291.0,4361.1,4143.7,19190000000.0,0.85%,0.0085,0.0,1
147,2012-04-01,16207.115,8.2,139.151,0.30210295,97.251,4396.6,4349.4,4397.9,4246.1,12930000000.0,1.42%,0.014199999999999999,0.0,1
148,2012-05-01,16207.115,8.2,140.15200000000002,-0.117347937,97.4595,4076.3,4398.6,4448.5,4024.8,19860000000.0,-7.29%,-0.0729,0.0,0
149,2012-06-01,16207.115,8.2,141.028,-0.146639688,97.4768,4094.6,4076.3,4159.3,3985.0,17070000000.0,0.45%,0.0045000000000000005,0.0,1
150,2012-07-01,16319.541,8.2,141.66899999999998,-0.162978586,97.6714,4269.2,4094.6,4288.1,4062.3,14340000000.0,4.26%,0.0426,0.0,1
151,2012-08-01,16319.541,8.1,142.278,0.556515818,97.2734,4316.1,4269.2,4403.9,4212.7,17670000000.0,1.10%,0.011000000000000001,0.0,1
152,2012-09-01,16319.541,7.8,142.906,0.446221227,97.2217,4387.0,4310.0,4421.0,4261.2,16510000000.000002,1.64%,0.016399999999999998,0.0,1
153,2012-10-01,16420.419,7.8,143.597,-0.038892514,97.5311,4517.0,4387.0,4581.8,4375.0,14850000000.0,2.96%,0.0296,0.0,1
154,2012-11-01,16420.419,7.7,144.58,-0.473808669,97.9084,4506.0,4517.0,4519.3,4334.3,15730000000.0,-0.24%,-0.0024,0.0,0
155,2012-12-01,16420.419,7.9,145.497,-0.269306449,98.1884,4649.0,4506.0,4688.6,4500.2,12300000000.0,3.17%,0.0317,0.0,1
156,2013-01-01,16648.189,8.0,146.82299999999998,0.295730419,98.1736,4878.8,4648.9,4906.2,4648.9,13140000000.0,4.94%,0.049400000000000006,0.0,1
157,2013-02-01,16648.189,7.7,147.781,0.819002953,98.6434,5104.1,4878.8,5112.5,4869.5,15110000000.0,4.62%,0.0462,0.0,1
158,2013-03-01,16648.189,7.5,149.96,0.261450858,99.047,4966.5,5104.1,5163.5,4927.9,15310000000.0,-2.70%,-0.027000000000000003,0.0,0
159,2013-04-01,16728.687,7.6,151.517,-0.103963948,98.9445,5191.2,4966.5,5195.1,4883.7,14580000000.0,4.52%,0.0452,0.0,1
160,2013-05-01,16728.687,7.5,152.849,0.178040777,99.0383,4926.6,5187.3,5249.6,4897.9,17140000000.0,-5.10%,-0.051,0.0,0
